tic,longitude,latitude
BIO,-122.278411,38.024443
SVNTQ,-74.6110287473835,40.58361685
BGEN,-71.085587,42.366773
BLSC,-87.9932461,42.2539226
BDK,-76.5676223,39.3965354
BKH,-103.25358409913215,44.017972400000005
BLOCA,-74.06071717495881,40.72375665768396
HRB,-97.2070193,37.6764647
VALPQ,-1.1494354,52.9819862
BLT,-122.61286507581889,45.43556685
BRRE,-120.33151579999999,38.254174649999996
BOBE,-82.7696389,40.0838031
BA,-73.97674025,42.8194925859375
OMX,-88.15319870008071,41.80392340918764
BOLT.1,174.7459419,-41.2824847
RHI,-71.7019213,43.5291799
0141A,-82.45822771428571,28.016245979591837
NST,-71.08250628733232,42.3471718
EFU3,-71.27300551902323,42.3962687
REXMY,-0.1604728,51.5018643
BWL.A,-75.4619552,40.0434073
WEDC,-73.8202073,42.688518
BNE.1,-90.72057674924426,42.49073068578691
BRC,-87.99509462619355,43.1485189294908
BAM,-79.3788649,43.646052
BRID,-117.91537324489796,33.85282055102041
BGGSQ,-88.06560368888593,43.0837001066121
VN.,-79.68626295203443,43.6470645
BP,-0.1341969874173337,51.507825
BNSSA,-71.2403612929494,42.336194465223215
BF.B,-83.1665994723395,35.95675392587683
CAL,-76.4866448,38.9828253
MTRN,-81.45815352828383,41.508724420520544
WNMLA,-6.618846799999991,54.648201349999994
FRTN,-81.326092,35.716918
0015B,-74.512535,40.3007512
BRK3,-97.3318583,32.865112
BBR.,-94.60579015912768,39.095634450000006
BUKS,-94.8170655,38.835789500000004
RUNI,-80.00629625185567,40.439028750000006
CAE,-73.661868,45.5218291
RAMP,-122.40163938668127,37.7908375
CCBL,-77.79968234708907,40.82921505
CDI,4.792951,52.7885334
CI,-88.39869245348004,37.74639737988302
CIT.1,-73.98237558133278,40.75866945
CMI.3,-85.230322,42.354962
CPICQ,-121.99300348979591,47.20802891836735
CSS,-70.8452847,42.2004856
CNA,-73.34135935294118,40.89419964705883
CTS,-85.1490674,41.0381487
TLS,-77.47895189836336,39.066569
CVV,-73.2014943008937,40.766426249999995
HTRN,-97.77367967448257,30.480072
CACH,-121.24958954788157,37.97647035
CACI,-77.11805508880788,38.8834025
CDSCY,-0.1463068,51.5105344
CAGAQ,-84.43226815999999,33.81118172
SCIO.,-122.04960003004263,37.39686317878032
0176A,-73.9818903421781,40.760041099999995
ADAP.1,-93.62143272525512,41.58618195
CWT,-2.2473906,53.4731928
CBEX,-71.83120857097914,42.752786345954824
CBLRF,-77.8670506,34.220828
CPB,-90.2877437535671,38.605903999999995
MLFNF,-79.7393914,43.6127767
CNI,-73.56713073276637,45.49948345
CP,-113.9921579,50.9879674
CAO.A,-79.54295379776624,43.81911385
CAH,-0.2184217,51.4642407
CSL,-78.6660546,43.0345944
DUK8,-78.63854156303726,35.77398239372973
HPPS,-122.60004543114746,38.22997643185005
TAST1,-6.2750952,54.8606742
CAR.1,-73.97905350481889,40.762999699999995
CASC.2,-122.45774871607182,45.5388624
CGC.2,-119.23087131714775,46.21997847674306
CASY,-93.571736,41.701376
DOLE,-70.300258,43.709381
CATO,-89.5039671,37.9930006
CVCO,10.2494156,5.8709767
CTX.2,-106.6535594,35.0949051
BBVA1,-95.4624564,29.7433601
CTNR,4.349922,50.8460873
CHG,-85.17964660714286,42.30841230357143
AES2,-74.010497,41.506714
AEP11,-97.39756071735893,27.795448089798448
CSTW,-93.317738,44.910715
CV,-106.1022351,40.0739052
CRLTS,-122.33286609130795,47.60385395
LUMN,-93.69314795943896,41.644618550000004
KRT,-75.28575068086639,40.117095138809205
CRDN,-117.8514979,33.6971938
CERB,-118.442651,34.060417
CYDI,113.236073,22.5630407
TERA,-96.61463793629947,32.982199319485495
CHLN.1,-122.26977926786188,38.217483349999995
3089B,-118.167457,34.001881
CREB,-93.61008548979592,33.66867948979591
CHRS.1,-74.9196016842321,40.081780397194095
MGLN,-119.090177,46.21979
CHTT,-85.32937748320465,35.01178890215836
CKP,-89.364209,41.903677
3CHEF,-73.66334786227932,40.7367116
JPM,-73.97674589479942,40.7554453
VZ4,-76.6143394,39.2862252
VZ5,-77.029934,38.901036
VZ6,-77.04035477139479,38.89996685
VZ7,-81.5958316,38.3281573
CPK,-118.27405084521813,34.08155368837798
CVX,-121.95945809117993,37.7583351
CVR,-88.228277716319,41.78356148094117
EAT,-96.989677,32.9390682
CHIR.1,152.3176338,-25.227007
CCN.2,18.3940861,-33.912131
CB.1,-70.93216968639175,42.20391938574513
1686B,-89.030242,37.55776
CHYR,-73.43705421687318,40.7605255
AES1,-74.010497,41.506714
CBB,-83.68668681632653,43.01395675510204
CIN1,-83.6879505,43.013363625000004
MZIAQ,-76.62389795958363,42.909929833234486
CCTYQ,-77.5768127,37.6402977
CRLI,-111.94584366777421,33.343958881518276
MBG.2,-115.1563704,36.145069
3614B,-74.01117211586508,40.72064575
CRBC,-83.69198899145633,43.01731998229585
CYN,-118.3470642244898,33.95757093877551
CLE,-80.40483362626262,25.76747787878788
CLC,-122.4034721,37.7887355
3CLRY,-111.93649045412585,33.39431413387585
CMH,-2.2241927,52.9958926
IHRT,-98.45182914528593,29.649025810152384
CLX,-120.76117365329625,38.34045322812669
COHM,-85.9040996,41.6807403
EP2,-91.190545,32.398937
COKE,-80.834371,35.156555
KO,-84.3966252798906,33.77086765
THNKQ,-71.58704279748282,42.33239895
COHR,-89.892874,35.218571
COHU,-117.03788167792678,32.94323543177567
CNJ,-84.293489,39.33921
RNGR.1,-82.75483341706072,27.803513785195918
OMED,-76.09739962638209,39.53902730512486
CL,-76.300218,40.04837
OSCIQ,-71.27415685075643,42.40769505
CNSI.1,-97.9136558129131,38.083320866208794
CCOM,-74.15424,40.941219
CCF,-89.5309401,34.3648976
NI2,-81.641327,38.355129
AEP8,-82.853596,40.000069
CMDZQ,-120.912356,36.016727
CLT.2,-2.2477367,53.4814114
CBSH,-84.322445,43.864179
C,-74.01117211586508,40.72064575
CTCO.,103.8484568,1.3172986
JCS,-93.41824075576235,44.89400911430863
CAR,-2.6517576698633523,51.48804305
CPQ.2,-95.8004814,30.2775067
CTK.3,-78.0742716522446,42.8670149231757
CDCY,-81.07620822448979,32.050884326530614
PURW,-72.51255518367347,42.37597851020408
DXC,-77.22129389729798,38.9234187
CTG,-75.5553018,39.7513466
